f1,f2,f3,f4,f5,label
0.5188132802898426,0.6631534008456706,0.7914171418690449,0.517843071074254,0.6514774316542334,0
0.07300676599927103,0.33090351984556876,0.8140560078252234,0.2844945000348388,0.01102600557100697,1
0.10008060719043821,0.97510128579241,0.15609771953708962,0.49930658846471554,0.3230173217832223,0
0.815045321158032,0.69828633316766,0.7248693810661224,0.9138205373612995,0.5396704250100222,1
0.19215588488481938,0.15190332882368573,0.7039938658491033,0.11457945839722705,0.5727590056659035,0
0.8654281210367657,0.7694617366524799,0.6902780570247982,0.5713124501405459,0.3970011363053023,1
0.5243469302768662,0.13987841970420778,0.5790116670184019,0.43274419951978693,0.33456541794721717,0
0.7145402702310779,0.7602952876352934,0.6960108844896996,0.18806192367384822,0.9253376068083782,1
0.2350342336392538,0.9973044790563405,0.8635007225544659,0.007344053923057703,0.14714835370264634,1
0.9166220846650008,0.2222671907688729,0.03572616994189082,0.3097183458202831,0.6570294327227987,0
0.1842004231985842,0.6957859835231105,0.4768532130220592,0.9461221648863647,0.08199435417195122,1
0.062037843658225844,0.6695804874686492,0.3471774604296781,0.2667024980334941,0.33370093835140735,0
0.4049182500902355,0.6563632351687244,0.24100106885589478,0.4440056197583694,0.6882528850771548,0
0.5755871139767871,0.18626801664481574,0.2978425705131823,0.0278636835199515,0.8854218454382385,1
0.8004178445678636,0.13572593798430377,0.3410976708300987,0.3658420646142104,0.616868533370025,0
0.6020947876787385,0.17614707463656765,0.11956145544467756,0.9884788433922245,0.8764530597487875,0
0.40322884778637724,0.11369511552619183,0.7448577426568944,0.5118001582371148,0.17465221998645364,0
0.9750534510439718,0.5889117636689978,0.024676156074920463,0.30329062158600584,0.5223584344015634,1
0.19443357754458934,0.6673212144140787,0.15859869633838553,0.2100643227453427,0.9365640381365965,0
0.618256902826239,0.9952064403979164,0.5242742651771243,0.1733890794760632,0.5238595218059556,1
0.9246051869723518,0.34997080208413056,0.16060105005592296,0.25802834655118434,0.9605160038702347,0
0.44382021534970284,0.4218556399743676,0.6658580201136208,0.4968771358482005,0.3938295039034756,0
0.5878713457852229,0.8093144542344662,0.2632474315309148,0.19390535792549124,0.1275463889793943,0
0.877695598624964,0.41808402522998855,0.6429350826745284,0.19918617284147178,0.8100034510737274,1
0.7276590879227,0.11762940468497274,0.2420758824323973,0.19277459185228574,0.7169286806835762,0
0.04870328984157268,0.6518948082227486,0.7352736578980025,0.5451998190727858,0.5861479822783223,0
0.7334149074647419,0.5770888115145676,0.8825551302943573,0.8651351053334466,0.13339619155220972,1
0.4372348754152471,0.8757332577934628,0.7040446984180635,0.3560725469830628,0.058240075445456285,1
0.8454120939637675,0.5548977314618563,0.41677676589718005,0.37413920565238334,0.5021317339797792,1
0.991416101777026,0.5027647152931127,0.7430733716678054,0.2370006376096755,0.2930535021707994,1
0.5193167448250519,0.7695905167911532,0.46370678423296163,0.5265026127497329,0.6982735615012308,1
0.517144152855902,0.7618188667671064,0.07582888351530226,0.5848054711894226,0.17251307665731974,1
0.021454211067752693,0.2708388707774001,0.5454310376004761,0.917188463675327,0.39293923527679364,0
0.30242943266139943,0.8445049773796304,0.5441492776764016,0.40802069660099505,0.6818168279599682,1
0.05283458777495065,0.15122704778320106,0.522697059556891,0.23564739180908334,0.8939358354193017,0
0.9189554191298757,0.8182177187610846,0.2888482317180071,0.803403842187193,0.26433459323652386,1
0.1321561004234717,0.7767714620157895,0.7916900369578541,0.060055373554603,0.854216040477445,0
0.8961083419763832,0.690537474736052,0.48393418062844196,0.7610706620991142,0.5700003047965683,0
